scenario,reorder_frac,ipc_default,ipc_pack,ipc_pct,peak_mA_default,peak_mA_pack,peak_mA_pct,peak_mW_default,peak_mW_pack,peak_mW_pct,mean_mA_default,mean_mA_pack,mean_mA_pct,energy_nJ_default,energy_nJ_pack,energy_pct,sum_abs_dI_pct,mean_abs_dI_default,mean_abs_dI_pack,edges15_default,edges15_pack,edges15_pct,hf_rms_pct,hf_peak_pct,max_dI_default,max_dI_pack,max_dI_pct,plateau_default,plateau_pack,plateau_pct,quiet_frac_default,quiet_frac_pack,e_per_uop_pct
hello_like,0.14216666666666666,1.9998333333333334,1.9998333333333334,0.0,154.0,152.0,-1.2987012987012987,169.4,167.20000000000002,-1.298701298701292,91.96783333333333,91.87733333333334,-0.09840397095360325,3.6419262,3.6383424,-0.09840397095361006,-4.830267928924183,10.159013251104259,9.668305692141011,3812,3657,-4.06610703043022,-0.47684368494240764,3.1390134529147984,80.0,76.0,-5.0,2.102774521297382,2.178129829984544,3.583613360536106,0.44845403783648635,0.469789149095758,-0.0984039709536042
int_chatter,0.204,1.9998333333333334,1.9998333333333334,0.0,257.0,255.0,-0.7782101167315175,282.70000000000005,280.5,-0.7782101167315335,159.15033333333332,158.8805,-0.16954619426913523,6.3023532000000015,6.2916678,-0.1695461942691758,-8.030170001956137,18.319943328610716,16.848820735061256,5975,5383,-9.907949790794978,-1.9167355448422734,0.5625879043600562,98.0,116.0,18.367346938775512,1.2996515679442509,1.4078780177890724,8.327343459909862,0.21760146678889908,0.2770230852571048,-0.16954619426918463
int_port_mix,0.8275,1.9990833333333333,1.9986666666666666,-0.020842886322901252,149.0,147.0,-1.342281879194631,163.9,161.70000000000002,-1.3422818791946238,132.653,130.43841666666665,-1.6694558987232384,5.253058800000001,5.165361300000001,-1.6694558987232346,-86.35057080420373,9.191015917993166,1.2545212101008418,2454,204,-91.68704156479217,-57.05044831980924,-15.613026819923373,42.0,34.0,-19.047619047619047,1.7956538314906596,14.396129032258065,701.7207314567496,0.3925327110592549,0.929827485623802,-1.6489567025713605
high_heavy,0.12183333333333334,1.9999166666666666,1.9999166666666666,0.0,312.0,312.0,0.0,343.20000000000005,343.20000000000005,0.0,223.261,222.74591666666666,-0.23070905054323712,8.8411356,8.820738299999999,-0.23070905054324514,-5.78663449628198,20.65563796983082,19.46037169764147,6359,5976,-6.022959584840383,-2.725240313845731,0.0,128.0,128.0,0.0,1.3426636568848758,1.3729316928298685,2.2543274922044008,0.24785398783231935,0.2696891407617301,-0.23070905054325117
