riscv,uopc,iq,fu,category,token,medium_ports,hw_units,demand,prior_w_mA
AMOMIN_D,uopAMO_AG,MEM,FU_MEM,MEM_AMO,HIGH,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,30
AMOMINU_D,uopAMO_AG,MEM,FU_MEM,MEM_AMO,HIGH,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,30
AMOMAX_D,uopAMO_AG,MEM,FU_MEM,MEM_AMO,HIGH,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,30
AMOMAXU_D,uopAMO_AG,MEM,FU_MEM,MEM_AMO,HIGH,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,30
LR_W,uopLD,MEM,FU_MEM,MEM_LD,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,22
LR_D,uopLD,MEM,FU_MEM,MEM_LD,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,22
SC_W,uopAMO_AG,MEM,FU_MEM,MEM_AMO,HIGH,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,30
SC_D,uopAMO_AG,MEM,FU_MEM,MEM_AMO,HIGH,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,30
FLW,uopLD,MEM,FU_MEM,MEM_LD,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,22
FLD,uopLD,MEM,FU_MEM,MEM_LD,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,22
FSW,uopSTA,MFP,FU_F2IMEM,MEM_ST,MID,"MEM0,FP0","F2I + AGU,STQ,D$,fpRF",medium,18
FSD,uopSTA,MFP,FU_F2IMEM,MEM_ST,MID,"MEM0,FP0","F2I + AGU,STQ,D$,fpRF",medium,18
FCLASS_S,uopFCLASS_S,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FCLASS_D,uopFCLASS_D,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FMV_S_X,uopFMV_S_X,INT,FU_I2F,FP_MOV,MID,INT0,"IntToFP,intRF,fpRF",short,16
FMV_D_X,uopFMV_D_X,INT,FU_I2F,FP_MOV,MID,INT0,"IntToFP,intRF,fpRF",short,16
FMV_X_S,uopFMV_X_S,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FMV_X_D,uopFMV_X_D,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FSGNJ_S,uopFSGNJ_S,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FSGNJ_D,uopFSGNJ_D,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FSGNJX_S,uopFSGNJ_S,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FSGNJX_D,uopFSGNJ_D,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FSGNJN_S,uopFSGNJ_S,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FSGNJN_D,uopFSGNJ_D,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FCVT_S_D,uopFCVT_S_D,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FCVT_D_S,uopFCVT_D_S,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FCVT_S_W,uopFCVT_S_X,INT,FU_I2F,FP_MOV,MID,INT0,"IntToFP,intRF,fpRF",short,16
FCVT_S_WU,uopFCVT_S_X,INT,FU_I2F,FP_MOV,MID,INT0,"IntToFP,intRF,fpRF",short,16
FCVT_S_L,uopFCVT_S_X,INT,FU_I2F,FP_MOV,MID,INT0,"IntToFP,intRF,fpRF",short,16
FCVT_S_LU,uopFCVT_S_X,INT,FU_I2F,FP_MOV,MID,INT0,"IntToFP,intRF,fpRF",short,16
FCVT_D_W,uopFCVT_D_X,INT,FU_I2F,FP_MOV,MID,INT0,"IntToFP,intRF,fpRF",short,16
FCVT_D_WU,uopFCVT_D_X,INT,FU_I2F,FP_MOV,MID,INT0,"IntToFP,intRF,fpRF",short,16
FCVT_D_L,uopFCVT_D_X,INT,FU_I2F,FP_MOV,MID,INT0,"IntToFP,intRF,fpRF",short,16
FCVT_D_LU,uopFCVT_D_X,INT,FU_I2F,FP_MOV,MID,INT0,"IntToFP,intRF,fpRF",short,16
FCVT_W_S,uopFCVT_X_S,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FCVT_WU_S,uopFCVT_X_S,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FCVT_L_S,uopFCVT_X_S,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FCVT_LU_S,uopFCVT_X_S,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FCVT_W_D,uopFCVT_X_D,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FCVT_WU_D,uopFCVT_X_D,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FCVT_L_D,uopFCVT_X_D,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FCVT_LU_D,uopFCVT_X_D,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FEQ_S,uopCMPR_S,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FLT_S,uopCMPR_S,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FLE_S,uopCMPR_S,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FEQ_D,uopCMPR_D,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FLT_D,uopCMPR_D,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FLE_D,uopCMPR_D,FP,FU_F2I,FP_MOV,MID,FP0,"FPToInt,fpRF,intRF",short,16
FMIN_S,uopFMINMAX_S,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FMAX_S,uopFMINMAX_S,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FMIN_D,uopFMINMAX_D,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FMAX_D,uopFMINMAX_D,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FADD_S,uopFADD_S,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FSUB_S,uopFSUB_S,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FMUL_S,uopFMUL_S,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
